"","teams","telo"
"1","France",1952
"2","Romania",1729
"3","Albania",1584
"4","Switzerland",1745
"5","England",1947
"6","Russia",1736
"7","Wales",1629
"8","Slovakia",1742
"9","Germany",2011
"10","Ukraine",1812
"11","Poland",1743
"12","Northern Ireland",1595
"13","Spain",1973
"14","Czech Republic",1728
"15","Turkey",1802
"16","Croatia",1745
"17","Belgium",1898
"18","Italy",1853
"19","Repulic of Ireland",1735
"20","Sweden",1738
"21","Portugal",1885
"22","Iceland",1640
"23","Austria",1752
"24","Hungary",1668
